entry_id,podcast,episode_title,host,chart_week,listens,rank
50,Stuff You Should Know,The Origins of Karaoke,Josh Clark,2025-03-31,623450,10
51,The Daily,A Senator's Final Interview,Michael Barbaro,2025-04-07,1834560,1
52,Huberman Lab,Optimizing Hormonal Health,Andrew Huberman,2025-04-07,1623450,2
53,Crime Junkie,The Highway Killer Returns,Ashley Flowers,2025-04-07,1534200,3
54,SmartLess,Guest: Will Ferrell,Jason Bateman,2025-04-07,1289340,4
55,Lex Fridman Podcast,A Conversation with a Neuroscientist,Lex Fridman,2025-04-07,1145670,5
56,Radiolab,The Bird That Learned to Lie,Latif Nasser,2025-04-07,978340,6
57,This American Life,Letters to a Younger Self,Ira Glass,2025-04-07,889230,7
58,Pod Save America,The Vice President Speaks,Jon Favreau,2025-04-07,812340,8
59,Serial,Episode 8: The Verdict,Sarah Koenig,2025-04-07,756780,9
60,Stuff You Should Know,How Air Traffic Control Works,Josh Clark,2025-04-07,612340,10
61,The Daily,Inside a Climate Summit,Michael Barbaro,2025-04-14,1789450,1
62,Crime Junkie,The Missing College Student,Ashley Flowers,2025-04-14,1645230,2
63,Huberman Lab,Fasting Protocols Revisited,Andrew Huberman,2025-04-14,1556780,3
64,SmartLess,Guest: Reese Witherspoon,Jason Bateman,2025-04-14,1312450,4
65,Lex Fridman Podcast,A Long Conversation with a CEO,Lex Fridman,2025-04-14,1187650,5
66,This American Life,The Reunion That Almost Wasn't,Ira Glass,2025-04-14,1023450,6
67,Radiolab,How Memory Actually Works,Latif Nasser,2025-04-14,934560,7
68,Pod Save America,A Bombshell Court Ruling,Jon Favreau,2025-04-14,845670,8
69,Serial,Episode 9: After the Trial,Sarah Koenig,2025-04-14,734230,9
70,Stuff You Should Know,The Surprising History of Velcro,Josh Clark,2025-04-14,589450,10
71,The Daily,The Story Behind the Stimulus Bill,Michael Barbaro,2025-04-21,1912340,1
72,Huberman Lab,Light Exposure and Circadian Rhythms,Andrew Huberman,2025-04-21,1689320,2
73,Crime Junkie,The Phone Call from the Stranger,Ashley Flowers,2025-04-21,1567890,3
74,SmartLess,Guest: Margot Robbie,Jason Bateman,2025-04-21,1398760,4
75,Lex Fridman Podcast,A Historian on the Cold War,Lex Fridman,2025-04-21,1245670,5
76,Radiolab,The Whale That Spoke Back,Latif Nasser,2025-04-21,1056780,6
77,This American Life,The Witness Who Changed Her Mind,Ira Glass,2025-04-21,978340,7
78,Pod Save America,Election Day Predictions,Jon Favreau,2025-04-21,889450,8
79,Serial,Episode 10: The Final Chapter,Sarah Koenig,2025-04-21,798760,9
80,Stuff You Should Know,The Science of Echolocation,Josh Clark,2025-04-21,645230,10
